rank,country,imfGDP,unGDP,gdpPerCapita,pop
1,United States,2.21981E+13,1.86245E+13,66678.0263,332915.073
2,China,1.54681E+13,1.12183E+13,10710.3777,1444216.107
3,Japan,5.49542E+12,4.93621E+12,43596.8659,126050.804
4,Germany,4.15712E+12,3.4778E+12,49548.2308,83900.473
5,India,3.25772E+12,2.25964E+12,2337.9495,1393409.038
6,United Kingdom,2.92708E+12,2.6479E+12,42914.5839,68207.116
7,France,2.87605E+12,2.46545E+12,43958.7034,65426.179
8,Italy,2.09045E+12,1.85891E+12,34628.7455,60367.477
9,Brazil,2.0625E+12,1.79593E+12,9638.1461,213993.437
10,Canada,1.83249E+12,1.52976E+12,48137.4033,38067.903
11,South Korea,1.74436E+12,1.41125E+12,33999.6818,51305.186
12,Russia,1.66746E+12,1.24602E+12,11427.845,145912.025
13,Spain,1.49708E+12,1.23726E+12,32026.3789,46745.216
14,Australia,1.48146E+12,1.30446E+12,57447.1711,25788.215
15,Mexico,1.29775E+12,1.07691E+12,9962.5973,130262.216
16,Indonesia,1.20886E+12,9.32259E+11,4374.1938,276361.783
17,Netherlands,9.54931E+11,7.77228E+11,55606.2129,17173.099
18,Turkey,8.09555E+11,8.63712E+11,9519.3901,85042.738
19,Saudi Arabia,7.90062E+11,6.39617E+11,22355.5951,35340.683
20,Switzerland,7.40702E+11,6.68851E+11,84986.8063,8715.494
21,Poland,6.43274E+11,4.71402E+11,17019.1792,37797.005
22,Taiwan,6.33695E+11,0,26564.4408,23855.01
23,Sweden,5.7672E+11,5.14476E+11,56762.8353,10160.169
24,Belgium,5.53781E+11,4.67955E+11,47607.0736,11632.326
25,Thailand,5.47431E+11,4.07026E+11,7825.9378,69950.85
26,Argentina,5.15353E+11,5.45866E+11,11300.1571,45605.826
27,Nigeria,4.96122E+11,4.04649E+11,2346.8323,211400.708
28,Iran,4.95694E+11,4.25403E+11,5829.7217,85028.759
29,Austria,4.81678E+11,3.908E+11,53264.8758,9043.07
30,United Arab Emirates,4.4913E+11,3.48744E+11,44953.0577,9991.089
31,Norway,4.38623E+11,3.71069E+11,80251.133,5465.63
32,Ireland,4.05185E+11,3.04819E+11,81314.9834,4982.907
33,Israel,4.03961E+11,3.17748E+11,45958.0645,8789.774
34,Hong Kong,4.02034E+11,3.20912E+11,53229.7251,7552.81
35,Malaysia,4.01985E+11,2.96531E+11,12264.5418,32776.194
36,Singapore,3.91875E+11,2.96946E+11,66456.82,5896.686
37,Philippines,3.89048E+11,3.04906E+11,3503.4562,111046.913
38,South Africa,3.86727E+11,2.9544E+11,6440.942,60041.994
39,Denmark,3.64546E+11,3.069E+11,62708.9821,5813.298
40,Colombia,3.5281E+11,2.82463E+11,6881.97,51265.844
41,Bangladesh,3.43279E+11,2.20837E+11,2064.1719,166303.498
42,Egypt,3.3136E+11,2.70144E+11,3178.2593,104258.327
43,Chile,3.13561E+11,2.47046E+11,16320.7947,19212.361
44,Finland,2.89243E+11,2.38503E+11,52131.2604,5548.36
45,Vietnam,2.82372E+11,2.05276E+11,2876.3915,98168.833
46,Romania,2.63133E+11,1.86691E+11,13756.5929,19127.774
47,Czech Republic,2.59736E+11,1.95305E+11,24218.8137,10724.555
48,Portugal,2.49912E+11,2.04837E+11,24578.4661,10167.925
49,Iraq,2.46932E+11,1.60021E+11,5996.5007,41179.35
50,Peru,2.44163E+11,1.9221E+11,7319.1625,33359.418
51,Greece,2.305E+11,1.92691E+11,22225.9849,10370.744
52,New Zealand,2.24943E+11,1.87517E+11,46278.4451,4860.643
53,Qatar,2.04008E+11,1.52452E+11,69614.7588,2930.528
54,Algeria,1.93056E+11,1.59049E+11,4326.997,44616.624
55,Hungary,1.77734E+11,1.25817E+11,18448.3054,9634.164
56,Kazakhstan,1.77322E+11,1.35005E+11,9335.2121,18994.962
57,Ukraine,1.4717E+11,93270354852,3385.801,43466.819
58,Kuwait,1.42999E+11,1.10346E+11,33036.2362,4328.55
59,Morocco,1.29056E+11,1.03607E+11,3455.7962,37344.795
60,Slovakia,1.17399E+11,89768598023,21498.8094,5460.721
61,Kenya,1.09116E+11,70525979046,1984.4433,54985.698
62,Ecuador,1.0773E+11,98010212618,6022.3132,17888.475
63,Puerto Rico,1.04117E+11,1.05035E+11,36813.1586,2828.255
64,Ethiopia,99371000000,70314560872,843.0114,117876.227
65,Angola,96426000000,1.06918E+11,2841.6075,33933.61
66,Dominican Republic,90459000000,71583585170,8258.3032,10953.703
67,Sri Lanka,89942000000,81321970966,4183.8723,21497.31
68,Guatemala,87629000000,68762920570,4801.6259,18249.86
69,Oman,84158000000,63170959402,16111.8051,5223.375
70,Panama,75494000000,55187800000,17229.8617,4381.579
71,Luxembourg,73693000000,58631324559,116085.9716,634.814
72,Ghana,72264000000,42793869465,2277.3133,31732.129
73,Bulgaria,71746000000,53239643485,10403.0021,6896.663
74,Myanmar,71403000000,65697616068,1302.8315,54806.012
75,Venezuela,70106000000,2.91376E+11,2442.2962,28704.954
76,Tanzania,64888000000,0,1055.1162,61498.437
77,Croatia,64590000000,51231002611,15824.4789,4081.651
78,Belarus,63664000000,47408111179,6742.0238,9442.862
79,Costa Rica,63460000000,57435510668,12348.581,5139.052
80,Uruguay,63421000000,52419718459,18197.4899,3485.151
81,Macau,62158000000,45311080521,94408.5153,658.394
82,Lebanon,60620000000,50457653265,8955.3394,6769.146
83,Slovenia,58213000000,44708598649,28004.1987,2078.724
84,Lithuania,57602000000,42773029835,21414.4815,2689.862
85,Turkmenistan,57059000000,36179885714,9326.5297,6117.924
86,Serbia,56886000000,38299871897,6540.4625,8697.55
87,Uzbekistan,55482000000,67778902435,1634.9124,33935.763
88,DR Congo,52475000000,40337492609,568.0465,92377.993
89,Libya,50424000000,42959534586,7246.356,6958.532
90,Ivory Coast,49882000000,36767790205,1843.8192,27053.629
91,Azerbaijan,47429000000,37847204069,4639.2853,10223.342
92,Bolivia,47052000000,33806395465,3976.3575,11832.94
93,Jordan,46451000000,38654647887,4523.4108,10269.021
94,Paraguay,45376000000,27165101909,6285.0797,7219.638
95,Cameroon,42047000000,32217073816,1544.4678,27224.265
96,Bahrain,40707000000,32179073596,23283.8146,1748.296
97,Latvia,38102000000,27572698482,20408.7754,1866.942
98,Tunisia,35150000000,41703561397,2944.9304,11935.766
99,Uganda,33620000000,25307842467,713.444,47123.531
100,Estonia,33235000000,23337920560,25079.5172,1325.185
101,Nepal,33035000000,20914004957,1113.2296,29674.92
102,Yemen,31385000000,25374086438,1029.3323,30490.64
103,Cambodia,29309000000,20016747858,1729.508,16946.438
104,El Salvador,28202000000,26797469656,4326.4561,6518.499
105,Senegal,28062000000,14604520531,1631.8626,17196.301
106,Iceland,26821000000,20269659972,78114.9429,343.353
107,Cyprus,26348000000,20046234311,21675.1784,1215.584
108,Zimbabwe,25812000000,16123763648,1710.2907,15092.171
109,Honduras,25560000000,21516915353,2540.0003,10062.991
110,Zambia,25272000000,21063063977,1335.6834,18920.651
111,Trinidad and Tobago,23235000000,24086176564,16556.5155,1403.375
112,Papua New Guinea,22114000000,19694115731,2425.0439,9119.01
113,Laos,22013000000,15805707090,2983.0508,7379.358
114,Bosnia and Herzegovina,21343000000,16909904149,6539.9793,3263.466
115,Botswana,20873000000,15566057294,8707.0929,2397.241
116,Afghanistan,20682000000,20235063330,519.1861,39835.428
117,Mali,19332000000,14001696748,926.9393,20855.735
118,Georgia,18888000000,14332728707,4746.0089,3979.765
119,Gabon,17893000000,13863183526,7851.8535,2278.825
120,Albania,17210000000,11863866791,5990.3938,2872.933
121,Jamaica,16717000000,14056901075,5622.0642,2973.463
122,Malta,16338000000,10998577038,36898.3522,442.784
123,Mozambique,16294000000,10930131568,506.6062,32163.047
124,Burkina Faso,16266000000,11695117109,756.6603,21497.096
125,Mauritius,15757000000,12216235024,12373.6388,1273.433
126,Mongolia,14960000000,11160356685,4493.4519,3329.289
127,Namibia,14627000000,10947277246,5653.2877,2587.344
128,Brunei,14281000000,11400266878,32344.2016,441.532
129,Armenia,13868000000,10572299425,4672.3068,2968.127
130,Bahamas,13710000000,11261800000,34541.5746,396.913
131,North Macedonia,13700000000,10745782586,6578.1324,2082.658
132,Guinea,13603000000,8476136811,1007.8354,13497.244
133,Madagascar,13542000000,11222263845,476.3726,28427.328
134,Moldova,12793000000,6772647958,3179.1599,4024.019
135,Chad,12547000000,11267295771,741.7683,16914.985
136,Nicaragua,12459000000,13230214875,1858.8905,6702.385
137,Equatorial Guinea,12263000000,10677940568,8457.848,1449.896
138,Benin,12129000000,8893638002,974.1355,12451.04
139,Republic of the Congo,11367000000,7778081883,2009.3643,5657.013
140,Rwanda,11062000000,8473784827,833.2007,13276.513
141,Niger,10628000000,7528285819,422.9071,25130.817
142,Haiti,9648000000,7647347306,835.9265,11541.685
143,Kyrgyzstan,8781000000,6551291140,1324.7629,6628.356
144,Somalia,8341000000,1318057519,509.8565,16359.504
145,Eritrea,8116000000,5413804303,2253.5261,3601.467
146,Malawi,7861000000,5318197658,400.098,19647.684
147,Tajikistan,7838000000,6951679338,803.9282,9749.627
148,Maldives,6213000000,4224207488,11429.0024,543.617
149,Togo,6132000000,4449262345,723.2625,8478.25
150,Montenegro,5740000000,4373958354,9139.3561,628.053
151,Mauritania,5697000000,4667119320,1193.0593,4775.119
152,Fiji,5671000000,4671118364,6280.831,902.906
153,Barbados,5339000000,4552793288,18556.8157,287.711
154,Eswatini,4812000000,4007002048,4104.5343,1172.362
155,Guyana,4609000000,3436626633,5831.7707,790.326
156,Sierra Leone,4221000000,3674756785,518.4648,8141.343
157,Suriname,3919000000,3278445033,6622.1697,591.8
158,Burundi,3714000000,2873699606,303.0493,12255.433
159,East Timor,3413000000,2703285752,2539.6745,1343.873
160,Liberia,3217000000,2756817825,621.0181,5180.203
161,Aruba,2952000000,2667039106,27536.286,107.204
162,Bhutan,2939000000,2212642587,3768.4415,779.898
163,Lesotho,2892000000,2241017076,1339.46,2159.079
164,South Sudan,2796000000,6534451826,245.6645,11381.378
165,Djibouti,2599000000,1891520369,2593.3284,1002.187
166,Central African Republic,2485000000,1810388740,505.0833,4919.981
167,Cape Verde,2208000000,1638928099,3929.5388,561.898
168,Belize,2071000000,1741100000,5114.6663,404.914
169,Saint Lucia,2069000000,1397066906,11220.1735,184.4
170,Gambia,1870000000,985831536,751.9266,2486.945
171,Antigua and Barbuda,1809000000,1460157909,18322.5127,98.731
172,Seychelles,1739000000,1433826317,17581.9954,98.908
173,San Marino,1672000000,1590761265,49151.8946,34.017
174,Guinea-Bissau,1669000000,1122643236,828.0848,2015.494
175,Solomon Islands,1607000000,1133967215,2282.6834,703.996
176,Grenada,1330000000,1016208148,11767.7246,113.021
177,Saint Kitts and Nevis,1118000000,909854620,20880.0239,53.544
178,Vanuatu,994000000,837519790,3160.9342,314.464
179,Samoa,960000000,822233281,4796.4267,200.149
180,Saint Vincent and the Grenadines,903000000,765318745,8115.9056,111.263
181,Comoros,773000000,1149802573,870.0536,888.451
182,Dominica,590000000,581484032,8175.4819,72.167
183,Sao Tome and Principe,527000000,342781695,2359.3353,223.368
184,Tonga,512000000,401460313,4795.8037,106.76
185,Micronesia,389000000,329895643,3346.1214,116.254
186,Palau,324000000,310248000,17832.572,18.169
187,Marshall Islands,228000000,183000000,3824.8616,59.61
188,Kiribati,196000000,173655146,1614.6039,121.392
189,Nauru,117000000,103469824,10757.6315,10.876
190,Tuvalu,53000000,36697185,4442.2094,11.931
191,Andorra,0,2858406626,36951.8018,77.355
192,Bermuda,0,6127341000,98684.8285,62.09
193,British Virgin Islands,0,971237110,31926.5346,30.421
194,Cayman Islands,0,3844080626,57808.3316,66.497
195,Cook Islands,0,290194195,16521.1611,17.565
196,Cuba,0,89688700000,7924.7767,11317.505
197,French Polynesia,0,5417934152,19176.4915,282.53
198,Palestine,0,13397100000,2565.1439,5222.748
199,Greenland,0,2282927882,40137.9799,56.877
200,North Korea,0,16788601831,648.5331,25887.041
201,Liechtenstein,0,6193677543,161926.2103,38.25
202,Monaco,0,6468000877,163701.27,39.511
203,Montserrat,0,62051375,12467.6261,4.977
204,Curacao,0,3121449966,18941.067,164.798
205,Sint Maarten,0,1072067039,24695.1773,43.412
206,New Caledonia,0,9445714851,32772.8138,288.218
207,Pakistan,0,2.82506E+11,1254.4675,225199.937
208,Anguilla,0,337520470,22327.2124,15.117
209,Sudan,0,82887395895,1845.66,44909.353
210,Syria,0,22163075121,1212.7072,18275.702
211,Turks and Caicos Islands,0,917550492,23388.4044,39.231
